Age,Global_d18O,std,# meas,# cores,stderr
83.5,3.83,0.125,144,83,0.01
84,3.79,0.134,147,103,0.011
84.5,3.76,0.146,157,85,0.012
85,3.76,0.128,185,82,0.009
85.5,3.81,0.126,228,79,0.008
86,3.93,0.153,199,89,0.011
86.5,4.05,0.15,207,83,0.01
87,4.14,0.165,198,90,0.012
87.5,4.18,0.165,167,88,0.013
88,4.2,0.152,150,91,0.012
88.5,4.2,0.159,157,87,0.013
89,4.18,0.169,150,83,0.014
89.5,4.14,0.152,143,82,0.013
90,4.06,0.151,119,80,0.014
90.5,4.02,0.15,122,84,0.014
91,4.04,0.136,129,76,0.012
91.5,4.06,0.143,108,72,0.014
92,3.98,0.165,88,67,0.018
92.5,3.93,0.206,91,60,0.022
93,3.93,0.168,86,68,0.018
93.5,3.95,0.144,90,68,0.015
94,3.95,0.153,83,61,0.017
94.5,3.96,0.161,75,62,0.019
95,3.92,0.162,76,53,0.019
95.5,3.93,0.145,65,61,0.018
96,3.92,0.125,88,63,0.013
96.5,3.87,0.11,83,49,0.012
97,3.86,0.16,59,60,0.021
97.5,3.87,0.147,78,57,0.017
98,3.86,0.129,82,62,0.014
98.5,3.85,0.206,84,72,0.022
99,3.79,0.188,108,73,0.018
99.5,3.83,0.137,72,60,0.016
100,3.88,0.083,113,59,0.008
100.5,3.84,0.114,115,56,0.011
101,3.81,0.121,94,54,0.012
101.5,3.8,0.108,107,64,0.01
102,3.8,0.092,113,70,0.009
102.5,3.82,0.128,146,60,0.011
103,3.82,0.126,106,65,0.012
103.5,3.84,0.099,98,59,0.01
104,3.94,0.129,113,70,0.012
104.5,3.99,0.168,144,76,0.014
105,4,0.18,135,76,0.015
105.5,4,0.18,121,84,0.016
106,4,0.161,119,73,0.015
106.5,3.99,0.146,122,68,0.013
107,3.97,0.187,122,70,0.017
107.5,3.98,0.206,110,68,0.02
108,4.03,0.164,104,67,0.016
108.5,4.06,0.161,121,73,0.015
109,4.09,0.137,117,79,0.013
109.5,4.1,0.14,135,86,0.012
110,4.1,0.169,134,87,0.015
110.5,4.1,0.173,122,76,0.016
111,4.08,0.197,116,63,0.018
111.5,4.02,0.196,111,70,0.019
112,3.97,0.145,104,78,0.014
112.5,3.98,0.161,108,70,0.015
113,3.99,0.144,111,73,0.014
113.5,3.96,0.127,108,75,0.012
114,3.92,0.195,95,63,0.02
114.5,3.88,0.195,100,63,0.019
115,3.83,0.179,86,66,0.019
115.5,3.82,0.147,90,59,0.016
116,3.82,0.171,86,64,0.018
116.5,3.75,0.169,88,64,0.018
117,3.67,0.115,93,53,0.012
117.5,3.58,0.125,76,63,0.014
118,3.51,0.097,87,62,0.01
118.5,3.48,0.125,93,59,0.013
119,3.46,0.196,95,61,0.02
119.5,3.43,0.192,92,54,0.02
120,3.4,0.149,100,74,0.015
120.5,3.36,0.145,89,60,0.015
121,3.34,0.172,89,59,0.018
121.5,3.35,0.199,74,64,0.023
122,3.27,0.199,81,64,0.022
122.5,3.25,0.172,86,65,0.019
123,3.25,0.178,105,66,0.017
123.5,3.28,0.191,96,73,0.019
124,3.32,0.232,117,68,0.021
124.5,3.31,0.236,117,71,0.022
125,3.26,0.209,96,66,0.021
125.5,3.21,0.179,88,70,0.019
126,3.21,0.205,93,68,0.021
126.5,3.24,0.204,103,77,0.02
127,3.25,0.177,108,81,0.017
127.5,3.27,0.214,118,82,0.02
128,3.34,0.197,118,79,0.018
128.5,3.43,0.166,121,65,0.015
129,3.56,0.174,122,86,0.016
129.5,3.67,0.174,115,86,0.016
130,3.78,0.164,141,78,0.014
130.5,3.84,0.15,155,91,0.012
131,3.89,0.181,158,84,0.014
131.5,3.95,0.167,146,86,0.014
132,4,0.152,137,82,0.013
132.5,4.1,0.148,142,90,0.012
133,4.23,0.169,177,97,0.013
133.5,4.36,0.176,253,110,0.011
134,4.51,0.141,295,119,0.008
134.5,4.63,0.129,272,118,0.008
135,4.71,0.129,301,118,0.007
135.5,4.78,0.129,232,90,0.008
136,4.81,0.117,162,81,0.009
136.5,4.81,0.097,115,70,0.009
137,4.79,0.073,120,65,0.007
137.5,4.78,0.088,106,65,0.009
138,4.8,0.124,102,65,0.012
138.5,4.79,0.117,108,71,0.011
139,4.77,0.115,114,67,0.011
139.5,4.74,0.139,108,66,0.013
140,4.71,0.129,107,71,0.012
140.5,4.71,0.101,132,70,0.009
141,4.7,0.104,118,66,0.01
141.5,4.7,0.152,109,73,0.015
142,4.67,0.183,110,59,0.017
142.5,4.63,0.149,90,55,0.016
143,4.59,0.176,85,59,0.019
143.5,4.57,0.184,86,57,0.02
144,4.59,0.144,72,52,0.017
144.5,4.62,0.116,64,46,0.014
145,4.64,0.116,64,46,0.014
